date,cases,sevendayavg,weekend,lagged1,delta1,sevendaydelta,month,day,label
2020-04-01,108,NA,0,NA,NA,NA,Apr,1,Apr 1
2020-04-02,117,NA,0,108,9,NA,Apr,2,2
2020-04-03,138,NA,0,117,21,NA,Apr,3,3
2020-04-04,151,NA,1,138,13,NA,Apr,4,4
2020-04-05,154,NA,1,151,3,NA,Apr,5,5
2020-04-06,180,NA,0,154,26,NA,Apr,6,6
2020-04-07,191,148.42857142857142,0,180,11,NA,Apr,7,7
2020-04-08,214,163.57142857142858,0,191,23,15.142857142857142,Apr,8,8
2020-04-09,234,180.28571428571428,0,214,20,16.714285714285715,Apr,9,9
2020-04-10,249,196.14285714285714,0,234,15,15.857142857142858,Apr,10,10
2020-04-11,270,213.14285714285714,1,249,21,17,Apr,11,11
2020-04-12,307,235,1,270,37,21.857142857142858,Apr,12,12
2020-04-13,317,254.57142857142858,0,307,10,19.571428571428573,Apr,13,13
2020-04-14,330,274.42857142857144,0,317,13,19.857142857142858,Apr,14,14
2020-04-15,367,296.2857142857143,0,330,37,21.857142857142858,Apr,15,15
2020-04-16,401,320.14285714285717,0,367,34,23.857142857142858,Apr,16,16
2020-04-17,407,342.7142857142857,0,401,6,22.571428571428573,Apr,17,17
2020-04-18,419,364,1,407,12,21.285714285714285,Apr,18,18
2020-04-19,430,381.57142857142856,1,419,11,17.571428571428573,Apr,19,19
2020-04-20,445,399.85714285714283,0,430,15,18.285714285714285,Apr,20,20
2020-04-21,458,418.14285714285717,0,445,13,18.285714285714285,Apr,21,21
2020-04-22,470,432.85714285714283,0,458,12,14.714285714285714,Apr,22,22
2020-04-23,481,444.2857142857143,0,470,11,11.428571428571429,Apr,23,23
2020-04-24,494,456.7142857142857,0,481,13,12.428571428571429,Apr,24,24
2020-04-25,497,467.85714285714283,1,494,3,11.142857142857142,Apr,25,25
2020-04-26,499,477.7142857142857,1,497,2,9.857142857142858,Apr,26,26
2020-04-27,504,486.14285714285717,0,499,5,8.428571428571429,Apr,27,27
2020-04-28,507,493.14285714285717,0,504,3,7,Apr,28,28
2020-04-29,516,499.7142857142857,0,507,9,6.571428571428571,Apr,29,29
2020-04-30,535,507.42857142857144,0,516,19,7.714285714285714,Apr,30,30
2020-05-01,543,514.4285714285714,0,535,8,7,May,1,May 1
2020-05-02,549,521.8571428571429,1,543,6,7.428571428571429,May,2,2
2020-05-03,553,529.5714285714286,1,549,4,7.714285714285714,May,3,3
2020-05-04,560,537.5714285714286,0,553,7,8,May,4,4
2020-05-05,567,546.1428571428571,0,560,7,8.571428571428571,May,5,5
2020-05-06,575,554.5714285714286,0,567,8,8.428571428571429,May,6,6
2020-05-07,582,561.2857142857143,0,575,7,6.714285714285714,May,7,7
2020-05-08,583,567,0,582,1,5.714285714285714,May,8,8
2020-05-09,589,572.7142857142857,1,583,6,5.714285714285714,May,9,9
2020-05-10,592,578.2857142857143,1,589,3,5.571428571428571,May,10,10
2020-05-11,598,583.7142857142857,0,592,6,5.428571428571429,May,11,11
2020-05-12,605,589.1428571428571,0,598,7,5.428571428571429,May,12,12
2020-05-13,607,593.7142857142857,0,605,2,4.571428571428571,May,13,13
2020-05-14,614,598.2857142857143,0,607,7,4.571428571428571,May,14,14
2020-05-15,616,603,0,614,2,4.714285714285714,May,15,15
2020-05-16,619,607.2857142857143,1,616,3,4.285714285714286,May,16,16
2020-05-17,619,611.1428571428571,1,619,0,3.857142857142857,May,17,17
2020-05-18,624,614.8571428571429,0,619,5,3.7142857142857144,May,18,18
2020-05-19,630,618.4285714285714,0,624,6,3.5714285714285716,May,19,19
2020-05-20,639,623,0,630,9,4.571428571428571,May,20,20
2020-05-21,650,628.1428571428571,0,639,11,5.142857142857143,May,21,21
2020-05-22,656,633.8571428571429,0,650,6,5.714285714285714,May,22,22
2020-05-23,662,640,1,656,6,6.142857142857143,May,23,23
2020-05-24,664,646.4285714285714,1,662,2,6.428571428571429,May,24,24
2020-05-25,667,652.5714285714286,0,664,3,6.142857142857143,May,25,25
2020-05-26,674,658.8571428571429,0,667,7,6.285714285714286,May,26,26
2020-05-27,677,664.2857142857143,0,674,3,5.428571428571429,May,27,27
2020-05-28,680,668.5714285714286,0,677,3,4.285714285714286,May,28,28
2020-05-29,688,673.1428571428571,0,680,8,4.571428571428571,May,29,29
2020-05-30,691,677.2857142857143,1,688,3,4.142857142857143,May,30,30
2020-05-31,692,681.2857142857143,1,691,1,4,May,31,31
2020-06-01,704,686.5714285714286,0,692,12,5.285714285714286,Jun,1,Jun 1
2020-06-02,706,691.1428571428571,0,704,2,4.571428571428571,Jun,2,2
2020-06-03,707,695.4285714285714,0,706,1,4.285714285714286,Jun,3,3
2020-06-04,720,701.1428571428571,0,707,13,5.714285714285714,Jun,4,4
2020-06-05,734,707.7142857142857,0,720,14,6.571428571428571,Jun,5,5
2020-06-06,741,714.8571428571429,1,734,7,7.142857142857143,Jun,6,6
2020-06-07,747,722.7142857142857,1,741,6,7.857142857142857,Jun,7,7
